Temperatura   , dT           , Intensitat   , dI           , Tensió          , dV
19.4737186432 , 0.0279202089 , 5.8764491081 , 0.0049999999 , 4567.9511718750 , 8.5847196579
19.4505100250 , 0.0463456847 , 5.8725652695 , 0.0049999999 , 4557.6850585938 , 6.5498924255
19.3865203857 , 0.0551633351 , 5.8530740738 , 0.0049999999 , 4550.3334960938 , 9.3394651413
19.5182628632 , 0.0423980691 , 5.8339452744 , 0.0049999999 , 4557.5214843750 , 7.3563108444
19.4592914581 , 0.0455889665 , 5.8466439247 , 0.0049999999 , 4561.4604492188 , 7.9548358917
19.5044612885 , 0.0448679589 , 5.8470830917 , 0.0049999999 , 4558.4033203125 , 9.1084871292
19.5433559418 , 0.0591726191 , 5.8512635231 , 0.0049999999 , 4550.0463867188 , 6.7455210686
19.5483741760 , 0.0431891307 , 5.8577122688 , 0.0049999999 , 4558.2119140625 , 6.4481749535
19.4737186432 , 0.0322266333 , 5.8533821106 , 0.0049999999 , 4561.9423828125 , 6.1956939697
19.5565299988 , 0.0395715684 , 5.8472871780 , 0.0049999999 , 4557.8032226563 , 6.4071464539
19.4925403595 , 0.0427554958 , 5.8508367538 , 0.0049999999 , 4552.8593750000 , 8.2433595657
19.4197692871 , 0.0558960065 , 5.8481707573 , 0.0049999999 , 4568.1850585938 , 8.5797395706
19.5722141266 , 0.0384005234 , 5.8530969620 , 0.0049999999 , 4566.4023437500 , 7.2847800255
19.5502567291 , 0.0464795157 , 5.8535017967 , 0.0049999999 , 4555.7631835938 , 5.4849781990
19.4856395721 , 0.0304221511 , 5.8558197021 , 0.0049999999 , 4554.6040039063 , 6.1643700600
19.5621757507 , 0.0291820318 , 5.8616905212 , 0.0049999999 , 4564.9848632813 , 6.7735638618
19.5289268494 , 0.0597575717 , 5.8641662598 , 0.0049999999 , 4567.5732421875 , 7.1077132225
19.4919128418 , 0.0330168307 , 5.8565039635 , 0.0049999999 , 4552.9125976563 , 7.9361290932
19.4699554443 , 0.0399542861 , 5.8485097885 , 0.0049999999 , 4557.2045898438 , 9.2961606979
19.5013237000 , 0.0621072948 , 5.8554782867 , 0.0049999999 , 4566.6591796875 , 7.1760048866
19.5038318634 , 0.0328092314 , 5.8655347824 , 0.0049999999 , 4563.1396484375 , 7.7130393982
19.5533943176 , 0.0378465652 , 5.8604216576 , 0.0049999999 , 4563.6303710938 , 7.5020384789
19.4448642731 , 0.0288932528 , 5.8564310074 , 0.0049999999 , 4551.2280273438 , 5.5899958611
19.4279251099 , 0.0338986702 , 5.8601651192 , 0.0049999999 , 4557.5766601563 , 9.2221517563
19.6060905457 , 0.0556509942 , 5.8614501953 , 0.0049999999 , 4561.7275390625 , 8.4832830429
