Platinium Resistance [Ω]	Silicon Resistance [Ω]	Temperature [K]	Temp Inverted [K-1]
20	27.856	77.37	0.012924906
21	27.500	79.856	0.012522541
22	26.926	82.342	0.012144471
23	0.000	84.828	0.01178856
24	26.300	87.314	0.011452917
25	0.000	89.8	0.011135857
26	0.000	92.286	0.01083588
27	26.380	94.772	0.01055164
28	26.471	97.258	0.010281931
29	26.716	99.744	0.010025666
30	27.146	102.23	0.009781864
31	27.707	104.716	0.009549639
32	28.097	107.202	0.009328184
33	28.481	109.688	0.009116768
34	28.907	112.174	0.008914722
35	29.409	114.66	0.008721437
36	29.928	117.146	0.008536356
37	30.32	119.632	0.008358968
38	31.143	122.118	0.008188801
39	31.839	124.604	0.008025425
40	32.768	127.09	0.00786844
41	33.631	129.576	0.007717479
42	34.417	132.062	0.007572201
43	35.366	134.548	0.007432292
44	36.309	137.034	0.007297459
45	37.288	139.52	0.007167431
46	38.517	142.006	0.007041956
47	39.561	144.492	0.006920798
48	41.007	146.978	0.006803739
49	42.309	149.464	0.006690574
50	43.637	151.95	0.006581112
51	44.888	154.436	0.006475174
52	46.048	156.922	0.006372593
53	47.271	159.408	0.006273211
54	48.653	161.894	0.006176881
55	49.912	164.38	0.006083465
56	51.316	166.866	0.005992833
57	52.878	169.352	0.005904861
58	54.266	171.838	0.005819435
59	56.06	174.324	0.005736445
60	57.658	176.81	0.005655789
61	59.307	179.296	0.005577369
62	60.87	181.782	0.005501095
63	62.744	184.268	0.005426878
64	64.539	186.754	0.005354638
65	66.525	189.24	0.005284295
66	68.405	191.726	0.005215777
67	70.48	194.212	0.005149012
68	72.45	196.698	0.005083936
69	74.768	199.184	0.005020484
70	76.973	201.67	0.004958596
71	79.24	204.156	0.004898215
72	81.214	206.642	0.004839287
73	84.07	209.128	0.00478176
74	86.295	211.614	0.004725585
75	88.925	214.1	0.004670715
76	61.439	216.586	0.004617104
77	94.005	219.072	0.004564709
78	96.642	221.558	0.004513491
79	99.353	224.044	0.004463409
80	102.122	226.53	0.004414426
81	104.759	229.016	0.004366507
82	107.246	231.502	0.004319617
83	110.025	233.988	0.004273723
84	112.652	236.474	0.004228795
85	115.26	238.96	0.004184801
86	118.536	241.446	0.004141713
87	122.037	243.932	0.004099503
88	125.607	246.418	0.004058145
89	129.237	248.904	0.004017613
90	132.463	251.39	0.003977883
91	135.946	253.876	0.003938931
92	139.431	256.362	0.003900734
93	143.82	258.848	0.003863271
94	148.427	261.334	0.003826521
95	154.205	263.82	0.003790463
96	162.454	266.306	0.003755079
97	173.613	268.792	0.003720349
98	181.202	271.278	0.003686255
99	192.017	273.764	0.003652781
100	198.184	276.25	0.00361991
101	203.8	278.736	0.003587624
102	209.67	281.222	0.00355591
103	216.24	283.708	0.003524751
104	223.28	286.194	0.003494133
105	230.66	288.68	0.003464043
106	237.89	291.166	0.003434467
